agent,env,env_step,episode_reward,seed
DCWM (ours),walker-walk,1000.0,35.183502197265625,1
DCWM (ours),walker-walk,26000.0,298.6482238769531,1
DCWM (ours),walker-walk,51000.0,953.2974853515624,1
DCWM (ours),walker-walk,76000.0,961.2322387695312,1
DCWM (ours),walker-walk,101000.0,972.0142822265624,1
DCWM (ours),walker-walk,126000.0,966.6049194335938,1
DCWM (ours),walker-walk,151000.0,967.5899658203124,1
DCWM (ours),walker-walk,176000.0,976.4777221679688,1
DCWM (ours),walker-walk,201000.0,974.1222534179688,1
DCWM (ours),walker-walk,226000.0,967.9242553710938,1
DCWM (ours),walker-walk,251000.0,976.8920288085938,1
DCWM (ours),walker-walk,276000.0,977.8165893554688,1
DCWM (ours),walker-walk,301000.0,973.5411987304688,1
DCWM (ours),walker-walk,326000.0,980.3583984375,1
DCWM (ours),walker-walk,351000.0,980.8150634765624,1
DCWM (ours),walker-walk,376000.0,974.1094970703124,1
DCWM (ours),walker-walk,401000.0,968.794921875,1
DCWM (ours),walker-walk,426000.0,979.5208129882812,1
DCWM (ours),walker-walk,451000.0,970.3881225585938,1
DCWM (ours),walker-walk,476000.0,974.2338256835938,1
DCWM (ours),walker-walk,501000.0,978.5870971679688,1
DCWM (ours),walker-walk,526000.0,975.2275390625,1
DCWM (ours),walker-walk,551000.0,976.8524780273438,1
DCWM (ours),walker-walk,576000.0,975.8052978515624,1
DCWM (ours),walker-walk,601000.0,979.8455200195312,1
DCWM (ours),walker-walk,626000.0,971.9569702148438,1
DCWM (ours),walker-walk,651000.0,977.9358520507812,1
DCWM (ours),walker-walk,676000.0,974.173828125,1
DCWM (ours),walker-walk,701000.0,978.4892578125,1
DCWM (ours),walker-walk,726000.0,980.7968139648438,1
DCWM (ours),walker-walk,751000.0,972.3990478515624,1
DCWM (ours),walker-walk,776000.0,981.4511108398438,1
DCWM (ours),walker-walk,801000.0,977.3129272460938,1
DCWM (ours),walker-walk,826000.0,979.7946166992188,1
DCWM (ours),walker-walk,851000.0,977.830078125,1
DCWM (ours),walker-walk,876000.0,982.1752319335938,1
DCWM (ours),walker-walk,901000.0,982.7704467773438,1
DCWM (ours),walker-walk,926000.0,970.9191284179688,1
DCWM (ours),walker-walk,951000.0,987.49853515625,1
DCWM (ours),walker-walk,976000.0,981.8583984375,1
DCWM (ours),walker-walk,1001000.0,975.4882202148438,1
DCWM (ours),walker-walk,1026000.0,980.2838134765624,1
DCWM (ours),walker-walk,1051000.0,975.2467651367188,1
DCWM (ours),walker-walk,1076000.0,982.3121337890624,1
DCWM (ours),walker-walk,1101000.0,980.607421875,1
DCWM (ours),walker-walk,1126000.0,982.5637817382812,1
DCWM (ours),walker-walk,1151000.0,977.92724609375,1
DCWM (ours),walker-walk,1176000.0,977.8424682617188,1
DCWM (ours),walker-walk,1201000.0,979.2839965820312,1
DCWM (ours),walker-walk,1226000.0,978.4398803710938,1
DCWM (ours),walker-walk,1251000.0,967.7662353515624,1
DCWM (ours),walker-walk,1276000.0,974.7601928710938,1
DCWM (ours),walker-walk,1301000.0,980.0914916992188,1
DCWM (ours),walker-walk,1326000.0,980.2193603515624,1
DCWM (ours),walker-walk,1351000.0,974.0275268554688,1
DCWM (ours),walker-walk,1376000.0,981.7826538085938,1
DCWM (ours),walker-walk,1401000.0,977.0660400390624,1
DCWM (ours),walker-walk,1426000.0,974.6384887695312,1
DCWM (ours),walker-walk,1451000.0,979.3887939453124,1
DCWM (ours),walker-walk,1476000.0,982.4588012695312,1
DCWM (ours),walker-walk,1501000.0,976.6146850585938,1
DCWM (ours),walker-walk,1526000.0,986.7890625,1
DCWM (ours),walker-walk,1551000.0,977.8746337890624,1
DCWM (ours),walker-walk,1576000.0,980.0519409179688,1
DCWM (ours),walker-walk,1601000.0,979.0017700195312,1
DCWM (ours),walker-walk,1626000.0,981.1691284179688,1
DCWM (ours),walker-walk,1651000.0,981.5554809570312,1
DCWM (ours),walker-walk,1676000.0,981.8992309570312,1
DCWM (ours),walker-walk,1701000.0,980.9216918945312,1
DCWM (ours),walker-walk,1726000.0,981.75927734375,1
DCWM (ours),walker-walk,1751000.0,985.6453247070312,1
DCWM (ours),walker-walk,1776000.0,982.4046020507812,1
DCWM (ours),walker-walk,1801000.0,984.6402587890624,1
DCWM (ours),walker-walk,1826000.0,981.4739379882812,1
DCWM (ours),walker-walk,1851000.0,976.5222778320312,1
DCWM (ours),walker-walk,1876000.0,980.7477416992188,1
DCWM (ours),walker-walk,1901000.0,985.3577270507812,1
DCWM (ours),walker-walk,1926000.0,976.130859375,1
DCWM (ours),walker-walk,1951000.0,983.3595581054688,1
DCWM (ours),walker-walk,1976000.0,973.9835815429688,1
DCWM (ours),walker-walk,2001000.0,980.7350463867188,1
DCWM (ours),walker-walk,2026000.0,983.5623168945312,1
DCWM (ours),walker-walk,2051000.0,977.6759643554688,1
DCWM (ours),walker-walk,2076000.0,979.6982421875,1
DCWM (ours),walker-walk,2101000.0,975.5492553710938,1
DCWM (ours),walker-walk,2126000.0,974.5474853515624,1
DCWM (ours),walker-walk,2151000.0,977.3583984375,1
DCWM (ours),walker-walk,2176000.0,982.0925903320312,1
DCWM (ours),walker-walk,2201000.0,982.9364624023438,1
DCWM (ours),walker-walk,2226000.0,979.5421142578124,1
DCWM (ours),walker-walk,2251000.0,976.2984619140624,1
DCWM (ours),walker-walk,2276000.0,985.9236450195312,1
DCWM (ours),walker-walk,2301000.0,980.7296752929688,1
DCWM (ours),walker-walk,2326000.0,977.2262573242188,1
DCWM (ours),walker-walk,2351000.0,980.3059692382812,1
DCWM (ours),walker-walk,2376000.0,979.3717651367188,1
DCWM (ours),walker-walk,2401000.0,979.7975463867188,1
DCWM (ours),walker-walk,2426000.0,978.7144775390624,1
DCWM (ours),walker-walk,2451000.0,981.3119506835938,1
DCWM (ours),walker-walk,2476000.0,981.95703125,1
DCWM (ours),walker-walk,2501000.0,985.0974731445312,1
DCWM (ours),walker-walk,2526000.0,976.4931640625,1
DCWM (ours),walker-walk,2551000.0,975.1710815429688,1
DCWM (ours),walker-walk,2576000.0,980.5971069335938,1
DCWM (ours),walker-walk,2601000.0,977.3273315429688,1
DCWM (ours),walker-walk,2626000.0,978.2205200195312,1
DCWM (ours),walker-walk,2651000.0,979.3895874023438,1
DCWM (ours),walker-walk,1000.0,32.85527038574219,2
DCWM (ours),walker-walk,26000.0,891.6597900390625,2
DCWM (ours),walker-walk,51000.0,960.4812622070312,2
DCWM (ours),walker-walk,76000.0,967.2138061523438,2
DCWM (ours),walker-walk,101000.0,965.17333984375,2
DCWM (ours),walker-walk,126000.0,974.35302734375,2
DCWM (ours),walker-walk,151000.0,972.6490478515624,2
DCWM (ours),walker-walk,176000.0,971.3804931640624,2
DCWM (ours),walker-walk,201000.0,972.7320556640624,2
DCWM (ours),walker-walk,226000.0,971.15771484375,2
DCWM (ours),walker-walk,251000.0,974.3629150390624,2
DCWM (ours),walker-walk,276000.0,980.8057861328124,2
DCWM (ours),walker-walk,301000.0,971.1236572265624,2
DCWM (ours),walker-walk,326000.0,976.0277709960938,2
DCWM (ours),walker-walk,351000.0,972.6961059570312,2
DCWM (ours),walker-walk,376000.0,978.5189819335938,2
DCWM (ours),walker-walk,401000.0,975.4894409179688,2
DCWM (ours),walker-walk,426000.0,974.4560546875,2
DCWM (ours),walker-walk,451000.0,980.8549194335938,2
DCWM (ours),walker-walk,476000.0,979.3736572265624,2
DCWM (ours),walker-walk,501000.0,984.8458251953124,2
DCWM (ours),walker-walk,526000.0,977.1414184570312,2
DCWM (ours),walker-walk,551000.0,978.6052856445312,2
DCWM (ours),walker-walk,576000.0,981.7186889648438,2
DCWM (ours),walker-walk,601000.0,980.888671875,2
DCWM (ours),walker-walk,626000.0,979.1342163085938,2
DCWM (ours),walker-walk,651000.0,987.1808471679688,2
DCWM (ours),walker-walk,676000.0,981.5886840820312,2
DCWM (ours),walker-walk,701000.0,981.0880126953124,2
DCWM (ours),walker-walk,726000.0,972.5397338867188,2
DCWM (ours),walker-walk,751000.0,974.6867065429688,2
DCWM (ours),walker-walk,776000.0,978.1070556640624,2
DCWM (ours),walker-walk,801000.0,978.7377319335938,2
DCWM (ours),walker-walk,826000.0,978.6066284179688,2
DCWM (ours),walker-walk,851000.0,978.3191528320312,2
DCWM (ours),walker-walk,876000.0,983.3259887695312,2
