agent,env,env_step,episode_reward,episode_success,seed
Deterministic-MSE,walker-walk,1000.0,27.254423141479492,,0
Deterministic-MSE,walker-walk,26000.0,92.16304779052734,,0
Deterministic-MSE,walker-walk,51000.0,614.9518432617188,,0
Deterministic-MSE,walker-walk,76000.0,919.9413452148438,,0
Deterministic-MSE,walker-walk,101000.0,793.0123901367188,,0
Deterministic-MSE,walker-walk,126000.0,956.7308959960938,,0
Deterministic-MSE,walker-walk,151000.0,965.666015625,,0
Deterministic-MSE,walker-walk,176000.0,967.4654541015624,,0
Deterministic-MSE,walker-walk,201000.0,956.5081176757812,,0
Deterministic-MSE,walker-walk,226000.0,960.9859619140624,,0
Deterministic-MSE,walker-walk,251000.0,968.6619262695312,,0
Deterministic-MSE,walker-walk,276000.0,956.1549682617188,,0
Deterministic-MSE,walker-walk,301000.0,965.5126953125,,0
Deterministic-MSE,walker-walk,326000.0,967.0763549804688,,0
Deterministic-MSE,walker-walk,351000.0,979.2576293945312,,0
Deterministic-MSE,walker-walk,376000.0,978.1578369140624,,0
Deterministic-MSE,walker-walk,401000.0,975.8439331054688,,0
Deterministic-MSE,walker-walk,426000.0,968.3004150390624,,0
Deterministic-MSE,walker-walk,451000.0,965.5101928710938,,0
Deterministic-MSE,walker-walk,476000.0,969.2545166015624,,0
Deterministic-MSE,walker-walk,501000.0,972.4181518554688,,0
Deterministic-MSE,walker-walk,526000.0,975.5352783203124,,0
Deterministic-MSE,walker-walk,551000.0,966.9761962890624,,0
Deterministic-MSE,walker-walk,576000.0,969.8646850585938,,0
Deterministic-MSE,walker-walk,601000.0,975.7332153320312,,0
Deterministic-MSE,walker-walk,626000.0,973.1267700195312,,0
Deterministic-MSE,walker-walk,651000.0,972.0103759765624,,0
Deterministic-MSE,walker-walk,676000.0,974.8668823242188,,0
Deterministic-MSE,walker-walk,701000.0,973.3629150390624,,0
Deterministic-MSE,walker-walk,726000.0,978.2859497070312,,0
Deterministic-MSE,walker-walk,751000.0,970.4288330078124,,0
Deterministic-MSE,walker-walk,776000.0,971.6124877929688,,0
Deterministic-MSE,walker-walk,801000.0,977.8531494140624,,0
Deterministic-MSE,walker-walk,826000.0,974.06640625,,0
Deterministic-MSE,walker-walk,851000.0,982.8544921875,,0
Deterministic-MSE,walker-walk,876000.0,982.8905639648438,,0
Deterministic-MSE,walker-walk,901000.0,970.2898559570312,,0
Deterministic-MSE,walker-walk,926000.0,977.1964721679688,,0
Deterministic-MSE,walker-walk,951000.0,976.5119018554688,,0
Deterministic-MSE,walker-walk,976000.0,971.6925048828124,,0
Deterministic-MSE,walker-walk,1001000.0,983.32177734375,,0
Deterministic-MSE,walker-walk,1026000.0,971.7945556640624,,0
Deterministic-MSE,walker-walk,1051000.0,973.341796875,,0
Deterministic-MSE,walker-walk,1076000.0,981.0714721679688,,0
Deterministic-MSE,walker-walk,1101000.0,979.2844848632812,,0
Deterministic-MSE,walker-walk,1126000.0,977.3302612304688,,0
Deterministic-MSE,walker-walk,1151000.0,974.7737426757812,,0
Deterministic-MSE,walker-walk,1176000.0,979.498046875,,0
Deterministic-MSE,walker-walk,1201000.0,978.59521484375,,0
Deterministic-MSE,walker-walk,1226000.0,977.6586303710938,,0
Deterministic-MSE,walker-walk,1251000.0,971.2807006835938,,0
Deterministic-MSE,walker-walk,1276000.0,986.0256958007812,,0
Deterministic-MSE,walker-walk,1301000.0,976.0802612304688,,0
Deterministic-MSE,walker-walk,1326000.0,979.1724853515624,,0
Deterministic-MSE,walker-walk,1351000.0,977.1332397460938,,0
Deterministic-MSE,walker-walk,1376000.0,975.0955200195312,,0
Deterministic-MSE,walker-walk,1401000.0,979.4089965820312,,0
Deterministic-MSE,walker-walk,1426000.0,975.7042846679688,,0
Deterministic-MSE,walker-walk,1451000.0,984.3515625,,0
Deterministic-MSE,walker-walk,1476000.0,975.8429565429688,,0
Deterministic-MSE,walker-walk,1501000.0,982.6868286132812,,0
Deterministic-MSE,walker-walk,1526000.0,983.4992065429688,,0
Deterministic-MSE,walker-walk,1551000.0,976.5411987304688,,0
Deterministic-MSE,walker-walk,1576000.0,981.3884887695312,,0
Deterministic-MSE,walker-walk,1601000.0,977.8883666992188,,0
Deterministic-MSE,walker-walk,1626000.0,987.1043090820312,,0
Deterministic-MSE,walker-walk,1651000.0,978.5021362304688,,0
Deterministic-MSE,walker-walk,1676000.0,983.8334350585938,,0
Deterministic-MSE,walker-walk,1701000.0,978.9503784179688,,0
Deterministic-MSE,walker-walk,1726000.0,978.1785278320312,,0
Deterministic-MSE,walker-walk,1751000.0,976.47802734375,,0
Deterministic-MSE,walker-walk,1776000.0,977.85498046875,,0
Deterministic-MSE,walker-walk,1801000.0,980.6951293945312,,0
Deterministic-MSE,walker-walk,1826000.0,971.4060668945312,,0
Deterministic-MSE,walker-walk,1851000.0,981.7288208007812,,0
Deterministic-MSE,walker-walk,1876000.0,977.2970581054688,,0
Deterministic-MSE,walker-walk,1901000.0,979.7178955078124,,0
Deterministic-MSE,walker-walk,1926000.0,978.9542846679688,,0
Deterministic-MSE,walker-walk,1951000.0,979.9363403320312,,0
Deterministic-MSE,walker-walk,1976000.0,977.6290893554688,,0
Deterministic-MSE,walker-walk,1000.0,24.83684730529785,,1
Deterministic-MSE,walker-walk,26000.0,153.61936950683594,,1
Deterministic-MSE,walker-walk,51000.0,554.7589721679688,,1
Deterministic-MSE,walker-walk,76000.0,876.6550903320312,,1
Deterministic-MSE,walker-walk,101000.0,903.5439453125,,1
Deterministic-MSE,walker-walk,126000.0,938.7195434570312,,1
Deterministic-MSE,walker-walk,151000.0,944.6505126953124,,1
Deterministic-MSE,walker-walk,176000.0,946.0471801757812,,1
Deterministic-MSE,walker-walk,201000.0,953.3521728515624,,1
Deterministic-MSE,walker-walk,226000.0,947.4620361328124,,1
Deterministic-MSE,walker-walk,251000.0,954.9437866210938,,1
Deterministic-MSE,walker-walk,276000.0,966.3019409179688,,1
Deterministic-MSE,walker-walk,301000.0,960.6117553710938,,1
