agent,env,env_step,episode_reward,seed
DCWM,dog-walk,0.0,6.814364910125732,2
DCWM,dog-walk,25000.0,13.219027519226074,2
DCWM,dog-walk,50000.0,58.90885162353515,2
DCWM,dog-walk,75000.0,77.5972671508789,2
DCWM,dog-walk,100000.0,182.0544891357422,2
DCWM,dog-walk,125000.0,166.63958740234375,2
DCWM,dog-walk,150000.0,250.38536071777344,2
DCWM,dog-walk,175000.0,258.32830810546875,2
DCWM,dog-walk,200000.0,322.9229431152344,2
DCWM,dog-walk,225000.0,398.108642578125,2
DCWM,dog-walk,250000.0,414.93023681640625,2
DCWM,dog-walk,275000.0,477.1676940917969,2
DCWM,dog-walk,300000.0,493.9000549316406,2
DCWM,dog-walk,325000.0,549.0027465820312,2
DCWM,dog-walk,350000.0,543.6536254882812,2
DCWM,dog-walk,375000.0,642.9164428710938,2
DCWM,dog-walk,400000.0,692.1503295898438,2
DCWM,dog-walk,425000.0,709.2120971679688,2
DCWM,dog-walk,450000.0,775.4769287109375,2
DCWM,dog-walk,475000.0,837.4115600585938,2
DCWM,dog-walk,500000.0,833.1752319335938,2
DCWM,dog-walk,525000.0,840.9513549804688,2
DCWM,dog-walk,550000.0,866.5339965820312,2
DCWM,dog-walk,575000.0,827.5841064453125,2
DCWM,dog-walk,600000.0,867.4584350585938,2
DCWM,dog-walk,625000.0,882.23046875,2
DCWM,dog-walk,650000.0,873.5238647460938,2
DCWM,dog-walk,675000.0,881.9992065429688,2
DCWM,dog-walk,700000.0,903.1293334960938,2
DCWM,dog-walk,725000.0,878.3777465820312,2
DCWM,dog-walk,750000.0,891.4376831054688,2
DCWM,dog-walk,775000.0,921.0858764648438,2
DCWM,dog-walk,800000.0,868.1683959960938,2
DCWM,dog-walk,825000.0,910.2636108398438,2
DCWM,dog-walk,850000.0,884.4181518554688,2
DCWM,dog-walk,875000.0,914.6417846679688,2
DCWM,dog-walk,900000.0,916.9089965820312,2
DCWM,dog-walk,925000.0,921.9363403320312,2
DCWM,dog-walk,950000.0,927.5364379882812,2
DCWM,dog-walk,975000.0,926.1630859375,2
DCWM,dog-walk,1000000.0,908.7494506835938,2
DCWM,dog-walk,1025000.0,934.2328491210938,2
DCWM,dog-walk,1050000.0,900.1078491210938,2
DCWM,dog-walk,1075000.0,908.4503173828124,2
DCWM,dog-walk,1100000.0,915.3336791992188,2
DCWM,dog-walk,1125000.0,937.9205322265624,2
DCWM,dog-walk,1150000.0,917.4539184570312,2
DCWM,dog-walk,1175000.0,928.6642456054688,2
DCWM,dog-walk,1200000.0,934.3430786132812,2
DCWM,dog-walk,1225000.0,910.6492309570312,2
DCWM,dog-walk,1250000.0,935.22802734375,2
DCWM,dog-walk,1275000.0,906.9620971679688,2
