agent,env,env_step,episode_reward,seed
DCWM w/ reconstruction,walker-walk,0.0,35.085140228271484,1
DCWM w/ reconstruction,walker-walk,25000.0,95.7498779296875,1
DCWM w/ reconstruction,walker-walk,50000.0,294.4560241699219,1
DCWM w/ reconstruction,walker-walk,75000.0,660.0355224609375,1
DCWM w/ reconstruction,walker-walk,100000.0,922.8025512695312,1
DCWM w/ reconstruction,walker-walk,125000.0,947.1619262695312,1
DCWM w/ reconstruction,walker-walk,150000.0,941.9805908203124,1
DCWM w/ reconstruction,walker-walk,175000.0,954.1163940429688,1
DCWM w/ reconstruction,walker-walk,200000.0,957.6430053710938,1
DCWM w/ reconstruction,walker-walk,225000.0,952.8214721679688,1
DCWM w/ reconstruction,walker-walk,250000.0,963.8585815429688,1
DCWM w/ reconstruction,walker-walk,275000.0,965.7777709960938,1
DCWM w/ reconstruction,walker-walk,300000.0,960.0859375,1
DCWM w/ reconstruction,walker-walk,325000.0,970.9304809570312,1
DCWM w/ reconstruction,walker-walk,350000.0,965.2236328125,1
DCWM w/ reconstruction,walker-walk,375000.0,968.9650268554688,1
DCWM w/ reconstruction,walker-walk,400000.0,964.8165283203124,1
DCWM w/ reconstruction,walker-walk,425000.0,970.6705932617188,1
DCWM w/ reconstruction,walker-walk,450000.0,966.7327270507812,1
DCWM w/ reconstruction,walker-walk,475000.0,967.0924072265624,1
DCWM w/ reconstruction,walker-walk,500000.0,969.8404541015624,1
DCWM w/ reconstruction,walker-walk,525000.0,969.0271606445312,1
DCWM w/ reconstruction,walker-walk,550000.0,968.0968627929688,1
DCWM w/ reconstruction,walker-walk,575000.0,970.0505981445312,1
DCWM w/ reconstruction,walker-walk,600000.0,969.0675659179688,1
DCWM w/ reconstruction,walker-walk,625000.0,969.8832397460938,1
DCWM w/ reconstruction,walker-walk,650000.0,969.7935791015624,1
DCWM w/ reconstruction,walker-walk,675000.0,965.07470703125,1
DCWM w/ reconstruction,walker-walk,700000.0,970.4679565429688,1
DCWM w/ reconstruction,walker-walk,725000.0,976.8978881835938,1
DCWM w/ reconstruction,walker-walk,750000.0,971.5587768554688,1
DCWM w/ reconstruction,walker-walk,775000.0,971.0623168945312,1
DCWM w/ reconstruction,walker-walk,800000.0,973.0751342773438,1
DCWM w/ reconstruction,walker-walk,825000.0,973.6555786132812,1
DCWM w/ reconstruction,walker-walk,850000.0,973.0848999023438,1
DCWM w/ reconstruction,walker-walk,875000.0,972.4755249023438,1
DCWM w/ reconstruction,walker-walk,900000.0,974.5986328125,1
DCWM w/ reconstruction,walker-walk,925000.0,968.9111328125,1
DCWM w/ reconstruction,walker-walk,950000.0,979.5398559570312,1
DCWM w/ reconstruction,walker-walk,975000.0,974.4430541992188,1
DCWM w/ reconstruction,walker-walk,1000000.0,879.5836181640625,1
DCWM w/ reconstruction,walker-walk,1025000.0,972.1713256835938,1
DCWM w/ reconstruction,walker-walk,1050000.0,966.91748046875,1
DCWM w/ reconstruction,walker-walk,1075000.0,975.0905151367188,1
DCWM w/ reconstruction,walker-walk,1100000.0,971.1402587890624,1
DCWM w/ reconstruction,walker-walk,1125000.0,976.3982543945312,1
DCWM w/ reconstruction,walker-walk,1150000.0,974.0857543945312,1
DCWM w/ reconstruction,walker-walk,1175000.0,971.1915893554688,1
DCWM w/ reconstruction,walker-walk,1200000.0,971.3525390625,1
DCWM w/ reconstruction,walker-walk,1225000.0,972.7639770507812,1
DCWM w/ reconstruction,walker-walk,1250000.0,962.07666015625,1
DCWM w/ reconstruction,walker-walk,1275000.0,969.3619384765624,1
DCWM w/ reconstruction,walker-walk,1300000.0,977.78955078125,1
DCWM w/ reconstruction,walker-walk,1325000.0,978.0507202148438,1
DCWM w/ reconstruction,walker-walk,1350000.0,966.69140625,1
DCWM w/ reconstruction,walker-walk,1375000.0,978.4030151367188,1
DCWM w/ reconstruction,walker-walk,1400000.0,974.8922119140624,1
DCWM w/ reconstruction,walker-walk,1425000.0,966.2286987304688,1
DCWM w/ reconstruction,walker-walk,1450000.0,976.63720703125,1
DCWM w/ reconstruction,walker-walk,1475000.0,978.3045043945312,1
DCWM w/ reconstruction,walker-walk,1500000.0,972.6656494140624,1
DCWM w/ reconstruction,walker-walk,1525000.0,977.9251098632812,1
DCWM w/ reconstruction,walker-walk,1550000.0,976.1535034179688,1
DCWM w/ reconstruction,walker-walk,1575000.0,969.3987426757812,1
DCWM w/ reconstruction,walker-walk,1600000.0,972.1765747070312,1
DCWM w/ reconstruction,walker-walk,1625000.0,974.5325317382812,1
DCWM w/ reconstruction,walker-walk,1650000.0,979.1414184570312,1
DCWM w/ reconstruction,walker-walk,1675000.0,978.9025268554688,1
DCWM w/ reconstruction,walker-walk,1700000.0,977.6767578125,1
DCWM w/ reconstruction,walker-walk,1725000.0,973.7569580078124,1
DCWM w/ reconstruction,walker-walk,1750000.0,981.2476806640624,1
DCWM w/ reconstruction,walker-walk,1775000.0,978.5382690429688,1
DCWM w/ reconstruction,walker-walk,1800000.0,976.1390991210938,1
DCWM w/ reconstruction,walker-walk,1825000.0,978.6781616210938,1
DCWM w/ reconstruction,walker-walk,1850000.0,978.3079223632812,1
DCWM w/ reconstruction,walker-walk,1875000.0,980.8889770507812,1
DCWM w/ reconstruction,walker-walk,1900000.0,980.1025390625,1
DCWM w/ reconstruction,walker-walk,1925000.0,972.2664184570312,1
DCWM w/ reconstruction,walker-walk,1950000.0,978.7894897460938,1
DCWM w/ reconstruction,walker-walk,1975000.0,968.48974609375,1
DCWM w/ reconstruction,walker-walk,2000000.0,981.5476684570312,1
DCWM w/ reconstruction,walker-walk,2025000.0,978.0584106445312,1
DCWM w/ reconstruction,walker-walk,2050000.0,974.4353637695312,1
DCWM w/ reconstruction,walker-walk,2075000.0,980.0741577148438,1
DCWM w/ reconstruction,walker-walk,2100000.0,976.8564453125,1
DCWM w/ reconstruction,walker-walk,2125000.0,974.0556640625,1
DCWM w/ reconstruction,walker-walk,2150000.0,975.7945556640624,1
DCWM w/ reconstruction,walker-walk,2175000.0,976.89599609375,1
DCWM w/ reconstruction,walker-walk,2200000.0,978.4296875,1
DCWM w/ reconstruction,walker-walk,2225000.0,980.0722045898438,1
DCWM w/ reconstruction,walker-walk,2250000.0,974.9723510742188,1
DCWM w/ reconstruction,walker-walk,2275000.0,981.5869140625,1
DCWM w/ reconstruction,walker-walk,2300000.0,979.9421997070312,1
DCWM w/ reconstruction,walker-walk,2325000.0,972.8682861328124,1
DCWM w/ reconstruction,walker-walk,2350000.0,973.9906616210938,1
DCWM w/ reconstruction,walker-walk,2375000.0,978.4826049804688,1
DCWM w/ reconstruction,walker-walk,2400000.0,977.2618408203124,1
DCWM w/ reconstruction,walker-walk,2425000.0,976.2514038085938,1
DCWM w/ reconstruction,walker-walk,2450000.0,979.12939453125,1
DCWM w/ reconstruction,walker-walk,2475000.0,975.5863647460938,1
DCWM w/ reconstruction,walker-walk,2500000.0,977.1666870117188,1
DCWM w/ reconstruction,walker-walk,2525000.0,975.33349609375,1
DCWM w/ reconstruction,walker-walk,2550000.0,974.5783081054688,1
DCWM w/ reconstruction,walker-walk,2575000.0,979.6179809570312,1
DCWM w/ reconstruction,walker-walk,2600000.0,972.2527465820312,1
