,step,success,seed,env,agent,episode_success,env_step,reward,episode_reward
0,0,0.0,3,mw-peg-unplug-side,DreamerV3,0.0,0,,
1,100000,0.6,3,mw-peg-unplug-side,DreamerV3,0.6,100000,,
2,200000,0.75,3,mw-peg-unplug-side,DreamerV3,0.75,200000,,
3,300000,0.65,3,mw-peg-unplug-side,DreamerV3,0.65,300000,,
4,400000,0.7,3,mw-peg-unplug-side,DreamerV3,0.7,400000,,
5,500000,0.53,3,mw-peg-unplug-side,DreamerV3,0.53,500000,,
6,600000,0.9,3,mw-peg-unplug-side,DreamerV3,0.9,600000,,
7,700000,0.5,3,mw-peg-unplug-side,DreamerV3,0.5,700000,,
8,800000,0.45,3,mw-peg-unplug-side,DreamerV3,0.45,800000,,
9,900000,0.75,3,mw-peg-unplug-side,DreamerV3,0.75,900000,,
10,1000000,0.6,3,mw-peg-unplug-side,DreamerV3,0.6,1000000,,
11,1100000,0.7,3,mw-peg-unplug-side,DreamerV3,0.7,1100000,,
12,1200000,0.75,3,mw-peg-unplug-side,DreamerV3,0.75,1200000,,
13,1300000,0.73,3,mw-peg-unplug-side,DreamerV3,0.73,1300000,,
14,1400000,0.8,3,mw-peg-unplug-side,DreamerV3,0.8,1400000,,
15,1500000,0.95,3,mw-peg-unplug-side,DreamerV3,0.95,1500000,,
16,1600000,0.8,3,mw-peg-unplug-side,DreamerV3,0.8,1600000,,
17,1700000,0.7,3,mw-peg-unplug-side,DreamerV3,0.7,1700000,,
18,1800000,0.7,3,mw-peg-unplug-side,DreamerV3,0.7,1800000,,
19,1900000,0.7,3,mw-peg-unplug-side,DreamerV3,0.7,1900000,,
20,2000000,0.75,3,mw-peg-unplug-side,DreamerV3,0.75,2000000,,
21,0,0.0,2,mw-peg-unplug-side,DreamerV3,0.0,0,,
22,100000,0.9,2,mw-peg-unplug-side,DreamerV3,0.9,100000,,
23,200000,0.7,2,mw-peg-unplug-side,DreamerV3,0.7,200000,,
24,300000,0.6,2,mw-peg-unplug-side,DreamerV3,0.6,300000,,
25,400000,0.75,2,mw-peg-unplug-side,DreamerV3,0.75,400000,,
26,500000,0.6,2,mw-peg-unplug-side,DreamerV3,0.6,500000,,
27,600000,0.9,2,mw-peg-unplug-side,DreamerV3,0.9,600000,,
28,700000,0.03,2,mw-peg-unplug-side,DreamerV3,0.03,700000,,
29,800000,0.33,2,mw-peg-unplug-side,DreamerV3,0.33,800000,,
30,900000,0.55,2,mw-peg-unplug-side,DreamerV3,0.55,900000,,
31,1000000,0.72,2,mw-peg-unplug-side,DreamerV3,0.72,1000000,,
32,1100000,0.5,2,mw-peg-unplug-side,DreamerV3,0.5,1100000,,
33,1200000,0.53,2,mw-peg-unplug-side,DreamerV3,0.53,1200000,,
34,1300000,0.2,2,mw-peg-unplug-side,DreamerV3,0.2,1300000,,
35,1400000,0.9,2,mw-peg-unplug-side,DreamerV3,0.9,1400000,,
36,1500000,0.6,2,mw-peg-unplug-side,DreamerV3,0.6,1500000,,
37,1600000,0.43,2,mw-peg-unplug-side,DreamerV3,0.43,1600000,,
38,1700000,0.55,2,mw-peg-unplug-side,DreamerV3,0.55,1700000,,
39,1800000,0.33,2,mw-peg-unplug-side,DreamerV3,0.33,1800000,,
40,1900000,0.9,2,mw-peg-unplug-side,DreamerV3,0.9,1900000,,
41,2000000,0.92,2,mw-peg-unplug-side,DreamerV3,0.92,2000000,,
42,0,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,0,,
43,100000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,100000,,
44,200000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,200000,,
45,300000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,300000,,
46,400000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,400000,,
47,500000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,500000,,
48,600000,0.0,1,mw-peg-unplug-side,DreamerV3,0.0,600000,,
49,700000,0.17,1,mw-peg-unplug-side,DreamerV3,0.17,700000,,
50,800000,0.7,1,mw-peg-unplug-side,DreamerV3,0.7,800000,,
51,900000,0.73,1,mw-peg-unplug-side,DreamerV3,0.73,900000,,
52,1000000,0.98,1,mw-peg-unplug-side,DreamerV3,0.98,1000000,,
53,1100000,0.65,1,mw-peg-unplug-side,DreamerV3,0.65,1100000,,
54,1200000,0.93,1,mw-peg-unplug-side,DreamerV3,0.93,1200000,,
55,1300000,0.35,1,mw-peg-unplug-side,DreamerV3,0.35,1300000,,
56,1400000,0.9,1,mw-peg-unplug-side,DreamerV3,0.9,1400000,,
57,1500000,1.0,1,mw-peg-unplug-side,DreamerV3,1.0,1500000,,
58,1600000,0.57,1,mw-peg-unplug-side,DreamerV3,0.57,1600000,,
59,1700000,0.75,1,mw-peg-unplug-side,DreamerV3,0.75,1700000,,
60,1800000,0.8,1,mw-peg-unplug-side,DreamerV3,0.8,1800000,,
61,1900000,0.67,1,mw-peg-unplug-side,DreamerV3,0.67,1900000,,
62,2000000,0.17,1,mw-peg-unplug-side,DreamerV3,0.17,2000000,,
0,0,,3,reacher-hard,DreamerV3,,0,0.0,0.0
1,100000,,3,reacher-hard,DreamerV3,,100000,791.0,791.0
2,200000,,3,reacher-hard,DreamerV3,,200000,858.6,858.6
3,300000,,3,reacher-hard,DreamerV3,,300000,932.8,932.8
4,400000,,3,reacher-hard,DreamerV3,,400000,923.9,923.9
5,500000,,3,reacher-hard,DreamerV3,,500000,915.0,915.0
6,600000,,3,reacher-hard,DreamerV3,,600000,934.6,934.6
7,700000,,3,reacher-hard,DreamerV3,,700000,935.3,935.3
8,800000,,3,reacher-hard,DreamerV3,,800000,932.6,932.6
9,900000,,3,reacher-hard,DreamerV3,,900000,927.0,927.0
10,1000000,,3,reacher-hard,DreamerV3,,1000000,812.8,812.8
11,1100000,,3,reacher-hard,DreamerV3,,1100000,869.3,869.3
12,1200000,,3,reacher-hard,DreamerV3,,1200000,946.2,946.2
13,1300000,,3,reacher-hard,DreamerV3,,1300000,950.6,950.6
14,1400000,,3,reacher-hard,DreamerV3,,1400000,915.4,915.4
15,1600000,,3,reacher-hard,DreamerV3,,1600000,851.2,851.2
16,1700000,,3,reacher-hard,DreamerV3,,1700000,758.4,758.4
17,1800000,,3,reacher-hard,DreamerV3,,1800000,952.0,952.0
18,1900000,,3,reacher-hard,DreamerV3,,1900000,932.4,932.4
19,2000000,,3,reacher-hard,DreamerV3,,2000000,944.5,944.5
20,2100000,,3,reacher-hard,DreamerV3,,2100000,863.7,863.7
21,2200000,,3,reacher-hard,DreamerV3,,2200000,848.0,848.0
22,2300000,,3,reacher-hard,DreamerV3,,2300000,918.2,918.2
23,2500000,,3,reacher-hard,DreamerV3,,2500000,945.6,945.6
24,2600000,,3,reacher-hard,DreamerV3,,2600000,960.6,960.6
25,2700000,,3,reacher-hard,DreamerV3,,2700000,957.9,957.9
26,2800000,,3,reacher-hard,DreamerV3,,2800000,952.8,952.8
27,2900000,,3,reacher-hard,DreamerV3,,2900000,804.8,804.8
28,3000000,,3,reacher-hard,DreamerV3,,3000000,947.4,947.4
29,3100000,,3,reacher-hard,DreamerV3,,3100000,941.3,941.3
30,3200000,,3,reacher-hard,DreamerV3,,3200000,853.5,853.5
31,3300000,,3,reacher-hard,DreamerV3,,3300000,853.8,853.8
32,3400000,,3,reacher-hard,DreamerV3,,3400000,936.4,936.4
33,3500000,,3,reacher-hard,DreamerV3,,3500000,947.4,947.4
34,3600000,,3,reacher-hard,DreamerV3,,3600000,920.2,920.2
35,3700000,,3,reacher-hard,DreamerV3,,3700000,859.3,859.3
36,3800000,,3,reacher-hard,DreamerV3,,3800000,938.4,938.4
