agent,env,env_step,episode_reward,seed
DCWM,acrobot-swingup,0.0,21.108484268188477,1
DCWM,acrobot-swingup,25000.0,25.339080810546875,1
DCWM,acrobot-swingup,50000.0,39.464134216308594,1
DCWM,acrobot-swingup,75000.0,32.5559196472168,1
DCWM,acrobot-swingup,100000.0,30.45315933227539,1
DCWM,acrobot-swingup,125000.0,83.1539077758789,1
DCWM,acrobot-swingup,150000.0,100.9271240234375,1
DCWM,acrobot-swingup,175000.0,275.595458984375,1
DCWM,acrobot-swingup,200000.0,143.36119079589844,1
DCWM,acrobot-swingup,225000.0,183.6081390380859,1
DCWM,acrobot-swingup,250000.0,111.89859771728516,1
DCWM,acrobot-swingup,275000.0,361.2729187011719,1
DCWM,acrobot-swingup,300000.0,249.5707550048828,1
DCWM,acrobot-swingup,325000.0,308.85455322265625,1
DCWM,acrobot-swingup,350000.0,334.6717834472656,1
DCWM,acrobot-swingup,375000.0,225.25279235839844,1
DCWM,acrobot-swingup,400000.0,352.6698913574219,1
DCWM,acrobot-swingup,425000.0,255.0033721923828,1
DCWM,acrobot-swingup,450000.0,296.02783203125,1
DCWM,acrobot-swingup,475000.0,208.2245635986328,1
DCWM,acrobot-swingup,500000.0,278.9856262207031,1
DCWM,acrobot-swingup,525000.0,220.34912109375,1
DCWM,acrobot-swingup,550000.0,238.67642211914065,1
DCWM,acrobot-swingup,575000.0,341.7040710449219,1
DCWM,acrobot-swingup,600000.0,178.166015625,1
DCWM,acrobot-swingup,625000.0,265.4167175292969,1
DCWM,acrobot-swingup,650000.0,300.3308410644531,1
DCWM,acrobot-swingup,675000.0,331.2220458984375,1
DCWM,acrobot-swingup,700000.0,406.3710632324219,1
DCWM,acrobot-swingup,725000.0,326.12646484375,1
DCWM,acrobot-swingup,750000.0,306.99151611328125,1
DCWM,acrobot-swingup,775000.0,324.8953857421875,1
DCWM,acrobot-swingup,800000.0,472.1708068847656,1
DCWM,acrobot-swingup,825000.0,389.8761901855469,1
DCWM,acrobot-swingup,850000.0,240.2490692138672,1
DCWM,acrobot-swingup,875000.0,336.00787353515625,1
DCWM,acrobot-swingup,900000.0,332.5022888183594,1
DCWM,acrobot-swingup,925000.0,316.4345703125,1
DCWM,acrobot-swingup,950000.0,334.6005554199219,1
DCWM,acrobot-swingup,975000.0,319.7380065917969,1
DCWM,acrobot-swingup,1000000.0,467.5583190917969,1
DCWM,acrobot-swingup,1025000.0,330.7652893066406,1
DCWM,acrobot-swingup,1050000.0,442.5113220214844,1
DCWM,acrobot-swingup,1075000.0,304.9496154785156,1
DCWM,acrobot-swingup,1100000.0,390.02093505859375,1
DCWM,acrobot-swingup,1125000.0,413.21783447265625,1
DCWM,acrobot-swingup,1150000.0,493.9295043945313,1
DCWM,acrobot-swingup,1175000.0,384.6978454589844,1
DCWM,acrobot-swingup,1200000.0,387.9938354492187,1
DCWM,acrobot-swingup,1225000.0,226.237548828125,1
DCWM,acrobot-swingup,1250000.0,300.7853698730469,1
DCWM,acrobot-swingup,1275000.0,369.4830017089844,1
DCWM,acrobot-swingup,1300000.0,373.6208801269531,1
DCWM,acrobot-swingup,1325000.0,471.2578125,1
DCWM,acrobot-swingup,1350000.0,338.0309753417969,1
DCWM,acrobot-swingup,1375000.0,418.4579162597656,1
DCWM,acrobot-swingup,1400000.0,307.3564453125,1
DCWM,acrobot-swingup,1425000.0,365.6685485839844,1
DCWM,acrobot-swingup,1450000.0,340.3824157714844,1
DCWM,acrobot-swingup,1475000.0,287.97918701171875,1
DCWM,acrobot-swingup,1500000.0,278.8484802246094,1
DCWM,acrobot-swingup,1525000.0,414.8291015625,1
DCWM,acrobot-swingup,1550000.0,326.9170837402344,1
DCWM,acrobot-swingup,1575000.0,314.4222717285156,1
DCWM,acrobot-swingup,1600000.0,345.9641418457031,1
DCWM,acrobot-swingup,1625000.0,442.3203125,1
DCWM,acrobot-swingup,1650000.0,552.60009765625,1
DCWM,acrobot-swingup,1675000.0,334.04425048828125,1
DCWM,acrobot-swingup,1700000.0,339.9366149902344,1
DCWM,acrobot-swingup,1725000.0,264.52301025390625,1
